frame,motions,detections,frame_motions,frame_detections
104,"(830.3333333333334, 272.3333333333333, 59.0, 50.0)","(0, 0, 0, 0)","[(619, 318, 38, 32), (966, 259, 109, 83), (906, 240, 30, 35)]",[]
105,"(819.0, 278.3333333333333, 74.0, 47.0)","(0, 0, 0, 0)","[(614, 328, 49, 24), (935, 266, 147, 84), (908, 241, 26, 33)]",[]
106,"(980.0, 286.0, 75.5, 49.0)","(0, 0, 0, 0)","[(1001, 288, 68, 26), (959, 284, 83, 72)]",[]
107,"(989.25, 283.0, 48.0, 43.25)","(0, 0, 0, 0)","[(1002, 313, 40, 40), (979, 286, 70, 29), (1032, 268, 29, 27), (944, 265, 53, 77)]",[]
108,"(974.25, 288.25, 44.75, 43.5)","(0, 0, 0, 0)","[(1002, 321, 40, 32), (942, 292, 63, 56), (928, 272, 41, 52), (1025, 268, 35, 34)]",[]
109,"(961.0, 300.0, 51.75, 37.25)","(0, 0, 0, 0)","[(960, 343, 22, 34), (895, 305, 118, 46), (971, 281, 27, 27), (1018, 271, 40, 42)]",[]
110,"(906.3333333333334, 295.6666666666667, 109.0, 57.333333333333336)","(0, 0, 0, 0)","[(896, 324, 157, 76), (882, 290, 55, 32), (941, 273, 115, 64)]",[]
111,"(904.3333333333334, 301.6666666666667, 113.66666666666667, 70.0)","(0, 0, 0, 0)","[(896, 336, 170, 98), (878, 294, 57, 35), (939, 275, 114, 77)]",[]
112,"(912.5, 289.0, 79.0, 88.5)","(0, 0, 0, 0)","[(895, 301, 39, 19), (930, 277, 119, 158)]",[]
113,"(936.5, 280.0, 86.0, 96.0)","(0, 0, 0, 0)","[(940, 283, 57, 37), (933, 277, 115, 155)]",[]
114,"(964.5, 314.75, 51.0, 58.25)","(0, 0, 0, 0)","[(986, 353, 59, 36), (934, 334, 61, 96), (943, 295, 31, 23), (995, 277, 53, 78)]",[]
115,"(972.0, 317.5, 72.0, 66.5)","(0, 0, 0, 0)","[(943, 334, 104, 81), (1001, 301, 40, 52)]",[]
116,"(972.5, 317.0, 71.5, 63.0)","(0, 0, 0, 0)","[(943, 333, 105, 74), (1002, 301, 38, 52)]",[]
117,"(982.0, 316.5, 73.5, 64.0)","(0, 0, 0, 0)","[(960, 328, 112, 85), (1004, 305, 35, 43)]",[]
118,"(952.0, 361.0, 83.5, 66.0)","(0, 0, 0, 0)","[(967, 402, 21, 30), (937, 320, 146, 102)]",[]
119,"(931.0, 296.0, 179.0, 136.0)","(0, 0, 0, 0)","[(931, 296, 179, 136)]",[]
120,"(896.0, 276.0, 229.0, 156.0)","(0, 0, 0, 0)","[(896, 276, 229, 156)]",[]
121,"(935.0, 260.0, 195.0, 172.0)","(0, 0, 0, 0)","[(935, 260, 195, 172)]",[]
122,"(972.3333333333334, 336.0, 103.33333333333333, 73.66666666666667)","(0, 0, 0, 0)","[(964, 402, 25, 30), (933, 315, 128, 98), (1020, 291, 157, 93)]",[]
123,"(994.5, 304.0, 154.5, 122.0)","(0, 0, 0, 0)","[(1099, 332, 105, 88), (890, 276, 204, 156)]",[]
124,"(1010.5, 336.5, 206.0, 116.0)","(0, 0, 0, 0)","[(1131, 401, 145, 73), (890, 272, 267, 159)]",[]
125,"(1032.5, 351.0, 186.0, 116.5)","(0, 0, 0, 0)","[(1170, 430, 110, 74), (895, 272, 262, 159)]",[]
126,"(1046.5, 351.0, 170.5, 113.0)","(0, 0, 0, 0)","[(1196, 426, 84, 71), (897, 276, 257, 155)]",[]
127,"(1054.0, 359.0, 162.0, 109.5)","(0, 0, 0, 0)","[(1196, 439, 84, 67), (912, 279, 240, 152)]",[]
128,"(1106.0, 394.6666666666667, 131.33333333333334, 92.66666666666667)","(0, 0, 0, 0)","[(1184, 478, 96, 67), (1192, 423, 88, 64), (942, 283, 210, 147)]",[]
129,"(1127.25, 429.75, 109.75, 69.75)","(0, 0, 0, 0)","[(1164, 511, 109, 68), (1212, 496, 34, 14), (1192, 428, 88, 75), (941, 284, 208, 122)]",[]
130,"(1118.5, 439.0, 111.0, 71.0)","(0, 0, 0, 0)","[(1124, 541, 96, 57), (1216, 495, 54, 40), (1192, 429, 88, 74), (942, 291, 206, 113)]",[]
131,"(1143.5, 460.5, 63.875, 49.5)","(0, 0, 0, 0)","[(1191, 567, 22, 24), (1056, 561, 122, 57), (1186, 527, 59, 45), (1230, 510, 40, 25), (1216, 439, 64, 63), (1194, 431, 26, 31), (1131, 358, 15, 46), (944, 291, 163, 105)]",[]
132,"(1128.5, 482.6666666666667, 80.66666666666667, 56.666666666666664)","(0, 0, 0, 0)","[(1040, 573, 100, 71), (1150, 555, 65, 36), (1187, 527, 58, 45), (1231, 509, 37, 24), (1218, 439, 62, 61), (945, 293, 162, 103)]",[]
133,"(1099.0, 482.4, 99.6, 66.2)","(0, 0, 0, 0)","[(1022, 589, 132, 78), (1106, 556, 104, 53), (1191, 530, 55, 42), (1219, 440, 61, 60), (957, 297, 146, 98)]",[]
134,"(1066.125, 468.125, 64.0, 50.5)","(0, 0, 0, 0)","[(1057, 607, 106, 79), (994, 596, 63, 45), (1079, 566, 88, 46), (1146, 556, 63, 33), (1219, 439, 61, 61), (974, 364, 23, 28), (1069, 318, 30, 31), (991, 299, 78, 81)]",[]
135,"(1094.4, 495.6, 81.8, 56.2)","(0, 0, 0, 0)","[(1061, 611, 107, 68), (1053, 568, 108, 46), (1147, 557, 61, 31), (1220, 441, 60, 58), (991, 301, 73, 78)]",[]
136,"(1091.8333333333333, 516.0, 75.16666666666667, 51.0)","(0, 0, 0, 0)","[(1028, 615, 103, 62), (1114, 611, 41, 29), (1046, 568, 118, 57), (1152, 558, 56, 28), (1220, 442, 60, 54), (991, 302, 73, 76)]",[]
137,"(1084.4, 499.6, 77.8, 63.0)","(0, 0, 0, 0)","[(1019, 620, 98, 87), (1039, 571, 129, 86), (1151, 559, 35, 18), (1221, 441, 59, 54), (992, 307, 68, 70)]",[]
138,"(1066.25, 492.25, 91.25, 73.25)","(0, 0, 0, 0)","[(1018, 646, 106, 74), (1033, 571, 135, 103), (1222, 441, 58, 51), (992, 311, 66, 65)]",[]
139,"(1062.0, 494.5, 92.5, 71.5)","(0, 0, 0, 0)","[(999, 651, 115, 69), (1033, 572, 133, 107), (1223, 442, 57, 50), (993, 313, 65, 60)]",[]
140,"(1066.75, 494.0, 78.0, 67.75)","(0, 0, 0, 0)","[(964, 640, 148, 80), (1048, 572, 104, 104), (1223, 444, 47, 43), (1032, 320, 13, 44)]",[]
141,"(1082.25, 580.75, 73.5, 70.25)","(0, 0, 0, 0)","[(1047, 674, 34, 46), (991, 628, 123, 87), (1067, 572, 85, 105), (1224, 449, 52, 43)]",[]
142,"(1059.25, 612.75, 62.5, 60.0)","(0, 0, 0, 0)","[(1046, 672, 44, 48), (1008, 621, 105, 81), (1079, 584, 67, 91), (1104, 574, 34, 20)]",[]
143,"(1044.3333333333333, 627.6666666666666, 67.66666666666667, 61.333333333333336)","(0, 0, 0, 0)","[(1046, 671, 41, 49), (1009, 628, 101, 75), (1078, 584, 61, 60)]",[]
144,"(1040.3333333333333, 628.6666666666666, 72.33333333333333, 65.33333333333333)","(0, 0, 0, 0)","[(1046, 672, 35, 48), (1005, 628, 109, 81), (1070, 586, 73, 67)]",[]
145,"(1052.2, 643.4, 48.8, 52.8)","(0, 0, 0, 0)","[(1046, 675, 34, 45), (1081, 671, 16, 36), (1082, 661, 28, 16), (989, 618, 91, 86), (1063, 592, 75, 81)]",[]
146,"(1050.5, 633.5, 54.75, 55.0)","(0, 0, 0, 0)","[(1049, 666, 51, 54), (1080, 649, 24, 16), (1002, 619, 79, 78), (1071, 600, 65, 72)]",[]
147,"(1051.5, 630.0, 65.0, 67.5)","(0, 0, 0, 0)","[(1099, 644, 31, 31), (1004, 616, 99, 104)]",[]
148,"(1054.5, 631.75, 41.75, 59.25)","(0, 0, 0, 0)","[(1054, 666, 26, 54), (1059, 633, 59, 79), (1025, 630, 27, 44), (1080, 598, 55, 60)]",[]
149,"(1000.0, 597.0, 147.0, 123.0)","(0, 0, 0, 0)","[(1000, 597, 147, 123)]",[]
150,"(1043.0, 633.5, 97.5, 86.5)","(0, 0, 0, 0)","[(1089, 664, 62, 56), (997, 603, 133, 117)]",[]
151,"(1051.0, 637.0, 94.0, 83.0)","(0, 0, 0, 0)","[(1089, 666, 70, 54), (1013, 608, 118, 112)]",[]
152,"(1052.0, 637.0, 94.0, 83.0)","(0, 0, 0, 0)","[(1087, 665, 75, 55), (1017, 609, 113, 111)]",[]
153,"(1063.0, 658.3333333333334, 71.0, 46.666666666666664)","(0, 0, 0, 0)","[(1112, 684, 40, 19), (1079, 675, 40, 45), (998, 616, 133, 76)]",[]
154,"(1052.5, 654.5, 93.5, 61.0)","(0, 0, 0, 0)","[(1114, 692, 23, 19), (991, 617, 164, 103)]",[]
155,"(987.5, 657.5, 129.5, 62.5)","(0, 0, 0, 0)","[(992, 698, 88, 22), (983, 617, 171, 103)]",[]
156,"(976.0, 620.0, 176.0, 100.0)","(0, 0, 0, 0)","[(976, 620, 176, 100)]",[]
157,"(982.0, 622.0, 170.0, 98.0)","(0, 0, 0, 0)","[(982, 622, 170, 98)]",[]
158,"(983.0, 623.0, 169.0, 97.0)","(0, 0, 0, 0)","[(983, 623, 169, 97)]",[]
159,"(991.0, 624.0, 160.0, 96.0)","(0, 0, 0, 0)","[(991, 624, 160, 96)]",[]
160,"(996.0, 626.0, 151.0, 94.0)","(0, 0, 0, 0)","[(996, 626, 151, 94)]",[]
161,"(998.0, 625.0, 148.0, 95.0)","(0, 0, 0, 0)","[(998, 625, 148, 95)]",[]
162,"(1001.0, 626.0, 141.0, 94.0)","(0, 0, 0, 0)","[(1001, 626, 141, 94)]",[]
163,"(1006.0, 628.0, 135.0, 92.0)","(0, 0, 0, 0)","[(1006, 628, 135, 92)]",[]
164,"(1008.0, 629.0, 131.0, 91.0)","(0, 0, 0, 0)","[(1008, 629, 131, 91)]",[]
165,"(1012.0, 632.0, 122.0, 88.0)","(0, 0, 0, 0)","[(1012, 632, 122, 88)]",[]
166,"(1024.0, 634.0, 98.0, 86.0)","(0, 0, 0, 0)","[(1024, 634, 98, 86)]",[]
167,"(1042.0, 634.0, 80.0, 86.0)","(0, 0, 0, 0)","[(1042, 634, 80, 86)]",[]
168,"(1046.0, 636.0, 75.0, 84.0)","(0, 0, 0, 0)","[(1046, 636, 75, 84)]",[]
169,"(1048.0, 636.0, 72.0, 84.0)","(0, 0, 0, 0)","[(1048, 636, 72, 84)]",[]
170,"(1052.0, 639.0, 68.0, 81.0)","(0, 0, 0, 0)","[(1052, 639, 68, 81)]",[]
171,"(1054.0, 641.0, 65.0, 79.0)","(0, 0, 0, 0)","[(1054, 641, 65, 79)]",[]
172,"(1057.0, 642.0, 61.0, 78.0)","(0, 0, 0, 0)","[(1057, 642, 61, 78)]",[]
173,"(1058.0, 643.0, 59.0, 77.0)","(0, 0, 0, 0)","[(1058, 643, 59, 77)]",[]
174,"(1061.0, 652.0, 55.0, 68.0)","(0, 0, 0, 0)","[(1061, 652, 55, 68)]",[]
175,"(1072.0, 663.0, 42.0, 57.0)","(0, 0, 0, 0)","[(1072, 663, 42, 57)]",[]
176,"(1078.0, 672.0, 29.0, 31.0)","(0, 0, 0, 0)","[(1078, 672, 29, 31)]",[]
177,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
178,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
179,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
180,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
181,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
182,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
183,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
184,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
185,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
186,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
187,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
188,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
189,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
190,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
191,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
192,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
193,"(0, 0, 0, 0)","(0, 0, 0, 0)",[],[]
194,"(1260.0, 544.0, 20.0, 32.0)","(0, 0, 0, 0)","[(1260, 544, 20, 32)]",[]
195,"(1227.0, 544.0, 53.0, 52.0)","(0, 0, 0, 0)","[(1227, 544, 53, 52)]",[]
196,"(1230.0, 532.0, 50.0, 56.0)","(0, 0, 0, 0)","[(1230, 532, 50, 56)]",[]
197,"(1225.0, 524.0, 55.0, 52.0)","(0, 0, 0, 0)","[(1225, 524, 55, 52)]",[]
198,"(1234.0, 536.0, 46.0, 44.0)","(0, 0, 0, 0)","[(1234, 536, 46, 44)]",[]
199,"(1229.0, 542.0, 51.0, 34.0)","(0, 0, 0, 0)","[(1224, 555, 56, 42), (1234, 529, 46, 26)]",[]
200,"(1232.0, 539.5, 47.5, 31.5)","(0, 0, 0, 0)","[(1226, 549, 54, 44), (1238, 530, 41, 19)]",[]
201,"(1225.0, 523.0, 55.0, 41.0)","(0, 0, 0, 0)","[(1225, 523, 55, 41)]",[]
202,"(1223.5, 512.5, 56.5, 58.0)","(0, 0, 0, 0)","[(1232, 534, 48, 65), (1215, 491, 65, 51)]",[]
203,"(1221.6666666666667, 495.6666666666667, 51.666666666666664, 50.333333333333336)","(0, 0, 0, 0)","[(1225, 519, 55, 85), (1228, 500, 32, 20), (1212, 468, 68, 46)]",[]
204,"(1221.0, 479.5, 59.0, 72.5)","(0, 0, 0, 0)","[(1228, 498, 52, 101), (1214, 461, 66, 44)]",[]
205,"(1232.3333333333333, 488.0, 45.666666666666664, 43.666666666666664)","(0, 0, 0, 0)","[(1228, 530, 52, 69), (1236, 478, 38, 24), (1233, 456, 47, 38)]",[]
206,"(1224.0, 472.6666666666667, 56.0, 53.666666666666664)","(0, 0, 0, 0)","[(1223, 511, 57, 87), (1218, 466, 62, 40), (1231, 441, 49, 34)]",[]
